GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr,is_optical
060729A,0.54,2.062017599,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.0116,0.012825,0.013425,0.077392286,2.1100000266417537e-07,0.14,0.1299999989075989,0
060814A,1.9229,2.162265614,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.0353,0.034855,0.024565,0.0,2.389999941897542e-07,0.03,0.2900000007343773,0
060906A,3.686,1.638489257,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.08845,0.072145,0.169635,0.005,1.3599999871972272e-07,0.11,0.2800000022377523,0
060908A,1.8836,1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,1.1099999924188009e-07,0.181818182,0.2499999999737754,0
060926A,3.2,0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,2.500000018516412e-08,0.23,0.1400000009483367,0
060927A,5.47,1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.08115,0.108435,0.118785,0.178498106,6.799999941907247e-08,0.242424242,0.1699999975809486,0
061021A,0.3463,1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.0264,0.03399,0.010415,0.016800037,1.0100000009629133e-07,0.06,0.2699999972613798,0
061121A,1.314,1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.01265,0.01703,0.01585,0.002358211,1.9899999670759804e-07,0.03,0.4599999822414635,0
061201A,0.111,-0.119186408,-10.4134127,3.49343,1.98937,0.145,1.65934,-6.476253533,0.81,21.16656331,0.586587305,0.098954548,0.09365,0.093885,0.169505,0.061048094,2.7000000197331423e-08,0.15,0.3099999968494831,0
070110A,2.352,1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.05475,0.053995,0.046555,0.12166788,1.079999983970431e-07,0.12,0.1199999993681074,0
070208A,1.165,1.806179974,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.1619,0.14114,0.06357,0.015,1.0099999974601913e-07,0.36,0.2199999990435824,0
070223A,1.6295,1.9408513687054,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.16615,0.203105,0.079308,0.06,7.270000077858017e-08,0.072727273,0.2078829144863455,0
070306A,1.4959,2.321184027,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.0335,0.02824,0.06188,0.001,2.8599999924264004e-07,0.1,0.210000001849024,0
070508A,0.82,1.320146286,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.010795,0.01189,0.013355,0.0005,2.730000127634461e-07,0.060606061,0.6100000043711049,0
070521A,2.0865,1.57863921,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.04901,0.04844,0.0562,0.147518075,1.769999916605304e-07,0.121212121,0.2700000004417557,0
070529A,2.4996,2.038222638,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.0552,0.068045,0.03501,0.015,2.4499999961440025e-07,0.16,0.3600000010532188,0
070802A,2.45,1.214843848,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.17395,0.236245,0.2088785,0.045,4.9999999925687395e-08,0.27,0.100000000407278,0
070809A,0.2187,1.161684284033457,-11.9625735,4.18985,1.17521,0.396,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985,0.1917,0.206985,0.395643,0.0595,6.060000091335018e-09,0.133333333,0.0449195590421169,0
071003A,1.60435,2.170643023,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.1359,0.098505,0.183105,0.032,3.000000014188585e-07,0.07,0.4000000022041877,0
071020A,2.145,0.62324929,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.035099822,0.039262062,0.011153209,0.001,1.0000000116951877e-07,0.05,0.2999999958794317,0
071117A,1.331,0.819543936,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.101024385,0.117162967,0.089387802,0.01,9.999999778609709e-08,0.06,0.3999999996438623,0
080411A,1.03,1.748188027,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.06043543,0.049275581,0.010296793,0.0,1.0000000880207289e-07,0.03,0.900000029596629,0
080516A,3.2,0.763427994,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.077803665,0.111057696,0.084888358,0.03,4.0000000195805424e-08,0.27,0.3000000013770211,0
080607A,3.036,1.899984563,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0.0,0.04,1.1000000207809784,0
080710A,0.845,2.077948999,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,2.0000000065324826e-07,0.23,0.1999999991235201,0
080810A,3.35,2.03666881,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,2.0000000249377965e-07,0.06,0.1999999992782625,0
080928A,1.692,2.368584372,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.064484035,0.047916769,0.075970735,0.0,2.000000027284301e-07,0.12,0.1000000019256125,0
081007A,0.5295,0.958563883,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348,2.937133306,0.053161115,0.084284398,0.039134851,0.005,7.999999921761344e-08,0.2,0.4000000019580541,0
081008A,1.9685,2.268297087,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352,40.34414957,0.06052989,0.056285684,0.063988679,0.025,1.9999999678428417e-07,0.07,0.1000000004121423,0
081029A,3.8479,2.431283332,-11.86327943,4.48156171,2.51960373,0.87,1.95818,-5.677780705,1.43,21.49704581,-0.301029996,45.6827768,0.083250805,0.04285341,0.169198521,0.001,1.9999999901579633e-07,0.18,0.2000000001200703,0
081221A,2.26,1.531478917,-9.354577731,2.93195749,1.23586126,0.991,2.4947,-4.742321425,1.21,21.57331844,1.260071388,0.8019177,0.0249855,0.031176651,0.012861856,0.0005,2.999999967033177e-07,0.13,0.4999999964444327,0
081230A,2.1,0.9072092264554434,-11.32975415,3.66959365,0.99376498,1.02,2.08621,-6.086186148,1.97,20.67248024,-0.15490196,13.77430841,0.0701444,0.08735027,0.040381418,0.02,4.8500000481429126e-08,0.096969697,0.2292411800862246,0
090102A,1.547,1.432006687,-9.457174573,3.15380077,1.42487631,0.667,1.76997,-7.167491087,1.36,21.72376179,0.740362689,2.240000004,0.036239983,0.041590346,0.021786596,0.002673458,3.000000053354431e-09,0.08,0.8000000059452829,0
090205A,4.6497,0.944482672,-11.3419886,3.70655,1.29089,1.01,2.03416,-6.721246399,2.15,21.81792086,-0.301029996,1.794079127,0.13445,0.114585,0.084185,0.025,3.000000003296744e-08,0.23,0.0999999994843888,0
090423A,8.26,0.989894564,-11.2798407,3.91521772,1.43267533,0.77,1.8158,-6.229147988,0.8,22.7516324,0.230448921,1.061728761,0.08569564,0.077643595,0.064053366,0.005,4.000000045633587e-08,0.5,0.2000000019426792,0
090424A,0.544,1.681241237,-9.050609993,2.99599056,1.1284106,0.924,1.96315,-4.677780705,1.19,21.63012977,1.851258349,2.27250697,0.011257098,0.013394814,0.005546887,0.0,0.0,0.15,1.999999939569451,0
090426A,2.609,0.079181246,-10.66550001,2.64657,1.00429,0.64,2.03664,-6.744727495,1.93,21.31103934,0.380211242,0.257899207,0.08725,0.104665,0.042666,0.0165,3.000000013770209e-08,0.22,0.2999999988844958,0
090519A,3.85,1.806179974,-11.76000021,3.44619,1.42452,0.63,1.46604,-5.920818754,1.02,22.13069392,-0.22184875,8.24011649,0.21145,0.24029,0.3065,0.03,1.0000000047182813e-07,0.2,0.1999999994073628,0
090530A,1.266,1.681241237,-11.16052195,3.6839464,0.88610581,1.09,2.03975,-5.958607315,1.61,20.90942658,0.397940009,35.77708764,0.089175625,0.115365029,0.038514202,0.035,1.00000001137137e-07,0.17,0.3000000012144137,0
090618A,0.54,2.05388479,-9.640164518,3.67275453,1.30942861,0.8945,1.82831,-3.978810701,1.42,21.39200012,1.589949601,0.593538562,0.009695255,0.014245613,0.010591616,0.002482662,1.0000000184824134e-06,0.08,0.7999999945125539,0
090809A,2.737,0.73239376,-11.8559,4.56066,1.6367,0.96,1.94644,-6.468521083,1.34,21.91952315,0.041392685,1.216253263,0.338,0.237865,0.319405,0.01,5.000000032863569e-08,0.24,0.1999999997414303,0
090812A,2.452,1.824125834,-10.16730017,3.52924,1.37252,0.53,1.88559,-5.236572006,1.24,21.77771022,0.556302501,14.65837332,0.10615,0.13258,0.08412,0.015,2.00000003008931e-07,0.05,0.1999999983096543,0
090927A,1.37,0.342422681,-11.6716204,4.20121889,1.13087741,0.92,2.06549,-6.698970004,1.8,21.01785522,0.301029996,0.400898978,0.076268475,0.093241949,0.074843971,0.01,2.999999989173935e-08,0.2,0.1999999992782625,0
091018A,0.971,0.639486489,-9.627087997,2.89655535,1.18074867,0.91,1.98015,-5.853871964,1.77,21.19187281,1.012837225,0.601065704,0.024288603,0.034497878,0.016335114,0.002061639,9.999999871481457e-08,0.24,0.3999999973672942,0
091020A,1.71,1.590061231,-9.71219827,2.95265011,1.17417264,0.895,2.08587,-5.431798276,1.53,21.70587483,0.62324929,4.875038864,0.034480687,0.045271255,0.018244861,0.002182887,1.0000000253969448e-07,0.07,0.2999999956473182,0
091029A,2.752,1.593286067,-11.34678749,4.30368998,1.12123368,1.064,2.11535,-5.619788758,1.46,21.45058625,0.255272505,4.829610314,0.02563352,0.034224003,0.026782025,0.002,9.999999778609709e-08,0.27,0.0999999990774559,0
091127A,0.49,0.84260924,-9.844663963,3.98466812,1.39581701,0.758,1.80187,-5.045757491,2.05,20.87872913,1.667452953,0.150359555,0.018562516,0.021935207,0.013587309,0.00244132,3.000000052895608e-07,0.07,2.7000000061210643,0
050416A,0.6528,0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,3.699999972196831e-08,0.22,0.4799999997355205,0
050820A,2.6147,1.414973348,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,2.420000017571089e-07,0.12,0.2299999976477012,0
050922C,2.198,0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,5.4000001063615494e-08,0.06,0.3199999918187526,0
051016B,0.9364,0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,2.1999999861399183e-08,0.23,0.1600000012580998,0
051109A,2.346,1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,2.719999976298928e-07,0.2,0.6900000016742329,0
051109B,0.08,1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,4.1000000196136147e-08,0.24,0.1299999998579893,0
051221A,0.5465,0.146128036,-11.69464863,4.20075,1.09586,0.89,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978045,0.063,0.085085,0.05576,0.005,3.499999958785975e-08,0.06,0.3900000093005053,0
060223A,4.41,1.053078443,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,4.8000000347443994e-08,0.12,0.1800000000421685,0
060502A,1.5026,1.45331834,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,1.0199999757507764e-07,0.08,0.2099999982073124,0
060510B,4.9,2.43964843,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,1.760000006571322e-07,0.08,0.1100000003377161,0
060912A,0.937,0.698970004,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.147419953,0.156564864,0.028937785,0.0785,6.199999928921041e-08,0.09,0.4400000022775763,0
061222A,2.088,1.853698212,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.02311,0.024435,0.018075,0.005,1.579999983874433e-07,0.04,0.260000001362206,0
070714B,0.923,1.806179974,-10.74232143,3.22974,1.64623,0.93,2.07429,-6.142667504,1.36,21.64321572,0.431363764,8.408797283,0.09935,0.0946,0.108425,0.005,8.99999995162111e-08,0.19,0.2000000022739229,0
070721B,3.626,2.531478917,-10.50863831,3.94739,2.5054,0.52,1.52512,-5.443697499,1.34,21.89473409,0.176091259,21.32020684,0.3648,0.10084,0.09144,0.0,1.999999983096544e-07,0.11,0.299999998646817,0
070810A,2.17,1.041392685,-10.77728353,3.36583,1.36994,1.02,2.17076,-6.161150909,2.04,21.93100401,0.278753601,4.99064124,0.06175,0.07187,0.077915,0.01,6.000000074044132e-08,0.14,0.2000000016780868,0
080319B,0.937,1.6809025575689436,-12.15181088,5.36799912,1.42250979,0.73,1.81426,-4.091514981,1.04,20.8771334,1.394451681,0.179108908,0.097779455,0.087626454,0.075139905,0.0,9.99999949845317e-07,0.02,0.4999999924826722,0
080905B,2.374,2.10720997,-10.11125904,3.67820615,1.36946226,0.375,1.86248,-5.744727495,1.78,22.33533151,-0.301029996,28.05833332,0.03236457,0.038825489,0.033301752,0.00558525,1.999999981549118e-07,0.15,0.0999999994843888,0
080916A,0.6887,1.77815125,-10.75269955,3.60698,0.998947,0.83,1.88453,-5.397940009,1.17,21.7431239,0.431363764,6.325897569,0.0592,0.073495,0.0260505,0.01,9.999999948624397e-08,0.21,0.2000000022739229,0
081028A,3.038,2.414973348,-11.3994,4.75426,2.20023,0.945,2.51,-5.431798276,1.25,20.90308999,-0.301029996,32.58849643,0.0572,0.03025,0.054715,0.0005,1.999999965598241e-07,0.38,0.0999999994843888,0
081203A,2.1,2.46834733,-10.9243983,4.02089,1.86904,0.82,2.03508,-5.113509275,1.54,21.66176916,0.462397998,82.96987405,0.05695,0.03932,0.064395,0.0325,2.999999958030317e-07,0.06,0.2000000028541887,0
090418A,1.608,1.748188027,-10.04720756,3.52813657,1.52909667,0.98,2.03408,-5.337242168,1.48,22.02365981,0.278753601,4.129211073,0.028659405,0.030759021,0.042154514,0.003531332,2.0000000249377965e-07,0.07,0.3000000003296744,0
090516A,4.109,2.322219295,-11.27490548,4.33113504,1.76098314,0.502,2.09,-5.045757491,1.84,21.19589965,0.204119983,64.0,0.03779605,0.029715315,0.053351589,0.479087085,5.999999898558558e-07,0.11,0.1999999992819726,0
091109A,3.076,1.681241237,-11.14630179,3.37933883,1.06152816,0.89,1.96352,-5.795880017,1.31,21.89596701,0.113943352,16.70810678,0.05941034,0.074268877,0.033719571,0.03,1.9999999928197265e-07,0.25,0.3999999986552087,0
091208B,1.063,1.173186268,-10.18045606,3.31388094,1.1606541,0.86,2.03333,-5.48148606,1.74,21.91211094,1.181843588,2.897723268,0.036806415,0.052928177,0.030502454,0.034663611,2.0000000240337421e-07,0.11,0.9999999865344265,0
100316B,1.18,0.579783597,-11.1481304,3.5543767,1.36246063,1.08,2.23535,-6.698970004,2.23,21.41315218,0.113943352,0.445223532,0.10431242,0.207348761,0.13322096,0.02,1.9999999927826235e-08,0.18,0.1000000004121423,0
100425A,1.755,1.568201724,-11.50168945,3.60199415,0.86819371,1.46,2.17077,-6.327902142,2.42,20.53466438,0.146128036,3.773539953,0.070859065,0.115125536,0.055076895,0.035,8.999999987218987e-08,0.32,0.200000000653248,0
100513A,4.772,1.924279286,-11.57186521,3.74522911,0.96306136,1.36,2.25722,-5.853871964,1.62,22.05240534,-0.22184875,14.87086076,0.09817689,0.128616618,0.061569437,0.025,9.999999871481457e-08,0.14,0.1000000003944569,0
100621A,0.542,1.803457116,-9.804100348,3.64164386,0.94079321,0.27,2.3024,-4.677780705,1.9,22.28454803,1.10720997,1.683600844,0.041282476,0.060455075,0.024177265,0.150679792,0.0,0.03,0.3000000026126603,0
100704A,3.6,2.2955671,-10.35163999,3.62503495,1.01294211,1.29,2.11575,-5.22184875,1.73,21.52730245,0.633468456,23.25931459,0.04763446,0.053639373,0.01813996,0.01,2.0000000355201577e-07,0.06,0.1999999967842841,0
100724A,1.288,0.146128036,-10.67778071,2.86502502,1.11237691,0.83,1.94442,-6.795880017,1.92,21.01720452,0.278753601,0.155794716,0.14742817,0.168928757,0.065002869,0.05,1.9999999928197266e-08,0.21,0.2000000016780868,0
100728A,1.567,2.297760511,-10.17587417,4.03148606,1.5588143,0.96,1.90402,-4.420216403,1.18,21.52592288,0.707570176,12.6465837,0.0760751,0.053762484,0.034265796,0.005,0.0,0.02,0.1999999981573847,0
100814A,1.44,2.241795431,-11.49349497,5.22729477,1.76532941,1.1425,1.89414,-5.045757491,1.47,20.89608288,0.397940009,9.468174905,0.04362636,0.035347138,0.084015169,0.01745135,1.999999897108633e-07,0.04,0.20000000272843,0
100816A,0.804,0.462397998,-11.5559552,3.97801299,1.04455013,1.09,1.91138,-5.698970004,0.73,21.34783526,1.037426498,0.621173086,0.08674922,0.112014005,0.047175154,0.015,9.99999996391312e-08,0.24,0.399999995538626,0
100901A,1.408,2.64246452,-11.34103516,4.91124,1.50754,1.075,1.98285,-5.677780705,1.52,21.53188109,-0.096910013,22.56299024,0.0283,0.02425,0.036255,0.0005,3.000000009414089e-07,0.21,0.1999999991272303,0
100906A,1.727,2.058426024,-10.4698003,3.94074768,1.71220056,0.87,2.02817,-4.920818754,1.78,21.96198081,1.004321374,1.591145486,0.048743085,0.039933316,0.059340084,0.0,0.0,0.03,0.3999999894671522,0
101219B,0.55,1.531478917,-11.99567863,4.42003952,0.66918137,0.94,1.85684,-5.677780705,1.56,20.49692965,-0.22184875,5.420624286,0.089446275,0.166829365,0.039390628,0.105,3.9999999803159266e-07,0.16,0.2999999998018196,0
110106B,0.618,-0.0284881041854658,-10.81530857,3.87203946,1.22519883,1.03,2.05121,-5.698970004,1.76,21.29748256,0.322219295,16.62661769,0.045543555,0.058714404,0.049891228,0.005,6.060000096023706e-08,0.066666667,0.0663302737002025,0
110213A,1.46,1.681241237,-9.896196279,3.84089,1.8412,1.1905,1.96436,-5.229147988,1.83,21.56708403,0.204119983,16.0,0.03588,0.023515,0.02785,0.226362665,4.000000045633587e-07,0.12,0.6000000015300541,0
110422A,1.77,1.413299764,-9.681936665,3.50066971,1.42239886,0.778,1.89199,-4.387216143,0.86,22.02088312,1.487138375,0.566646277,0.024137407,0.029472713,0.022779716,0.005,9.999999686319129e-07,0.1,0.9999999945188384,0
110503A,1.613,1.0,-9.08249449,2.54166555,1.14649063,0.687,1.90907,-5.0,0.88,21.13638759,0.130333768,3.405445073,0.028998071,0.028887961,0.006289914,0.001,3.999999936418702e-07,0.25,0.0600000000140561,0
110715A,0.82,1.113943352,-9.075720714,2.61109719,0.95853538,0.755,1.85342,-4.928117993,1.25,22.0746007,1.731588765,4.0,0.02377653,0.035600881,0.009554076,0.0015,1.999999883906529e-07,0.12,1.100000037764722,0
110731A,2.83,1.588831726,-12.08512818,5.08952072,1.42351927,0.39,1.85145,-5.22184875,1.15,21.95954126,1.041392685,11.66246372,0.097418495,0.090702815,0.110855301,0.13,9.99999948682526e-08,0.05,0.3000000008785673,0
110818A,3.36,2.012837225,-11.28316228,3.84627415,1.37167718,0.83,1.95985,-5.397940009,1.58,22.06812647,0.204119983,18.0548006,0.05514905,0.059648416,0.067338189,0.01,1.999999989724879e-07,0.11,0.299999998922959,0
111008A,4.9898,1.802500068,-10.66756154,3.98993393,1.21584288,0.829,1.94053,-5.27572413,1.86,22.17059025,0.806179974,2.36485691,0.028511085,0.035676696,0.027351291,0.001,3.000000060990589e-07,0.09,0.7000000006424275,0
111117A,2.211,0.095336512871744,-11.56224944,3.040958613,1.320391508,0.79,2.19593,-6.853871964,0.65,21.35810434,0.130333768,0.053665607,0.1607292,0.16895411,0.11777667,0.045,1.0899999840573072e-08,0.133333333,0.2483250442127408,0
111123A,3.1516,2.462397998,-11.60730305,4.42202873,1.46723371,1.25,2.55463,-5.13667714,1.68,21.35034301,-0.045757491,88.09086218,0.07308827,0.070655771,0.105884147,0.005,2.999999926153512e-07,0.07,0.0999999990000847,0
111209A,0.677,2.505149978,-9.057000407,4.13326,2.77382,0.2529,1.81212,-4.443697499,1.48,21.14009932,-0.301029996,29.55180898,0.02099,0.010455,0.04435,5e-05,1.0000000329948036e-06,0.03,0.0999999994843888,0
